date,spd,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,P_batt_W,P_mech_waste_W,t_s,v_ms,a_smooth,decel_g
2022-09-04 13:05:28+00:00,6.213210627,,,,,-26.28596278856624,0.0,2800.0,1.7258918408333332,-0.16471732916666657,0.016790757305470597
2022-09-04 13:05:30+00:00,5.328703356,,,,,-14.279713075236456,0.0,2802.0,1.4801953766666667,-0.11802166312499991,0.012030750573394486
2022-09-04 13:05:32+00:00,4.694946104,,,,,-0.0,10.184328668984776,2804.0,1.3041516955555554,-0.09587596916666659,0.009773289415562342
2022-09-04 13:05:34+00:00,4.072742321,,,,,-0.0,8.075772125544027,2806.0,1.1313173113888888,-0.09015378874999992,0.009189988659531082
2022-09-04 13:05:36+00:00,3.327329794,,,,,-0.0,5.864805471877628,2808.0,0.9242582761111111,-0.08353361442129621,0.008515149278419593
2022-09-04 13:05:38+00:00,2.801675992,,,,,-0.0,4.133937156319398,2810.0,0.778243331111111,-0.07551867861111104,0.007698132376260045
2022-09-04 13:05:40+00:00,2.35736029,,,,,-0.0,2.9863690995249037,2812.0,0.6548223027777778,-0.06970011094907398,0.007105006212953515
2022-09-04 13:05:42+00:00,1.780304909,,,,,-0.0,1.1457415792815573,2814.0,0.49452914138888887,-0.053012653726851766,0.005403940237191821
2022-09-04 13:05:44+00:00,1.337656084,,,,,1.614852068640168,0.0,2816.0,0.37157113444444445,-0.007502870578703631,0.0007648186114886474
2022-09-04 13:05:46+00:00,1.531233557,,,,,3.7679647889462125,0.0,2818.0,0.4253426547222222,0.021948555949074147,-0.002237365540170657
2022-09-04 13:05:48+00:00,2.282307633,,,,,4.625961046170874,0.0,2820.0,0.6339743425,0.011282234791666743,-0.001150074902310575
2022-09-04 13:05:50+00:00,1.783830977,,,,,5.714193134613448,0.0,2822.0,0.49550860472222225,0.03931712118055563,-0.004007861486295171
2022-09-04 13:05:52+00:00,1.572451207,,,,,16.045885963866567,0.0,2824.0,0.43679200194444445,0.2043970754398148,-0.020835583633008643
2022-09-04 13:05:54+00:00,3.939589618,,,,,78.40184715148042,0.0,2826.0,1.0943304494444444,0.430867081875,-0.04392121120030581
2022-09-04 13:05:56+00:00,8.956502651,,,,,212.59201845239022,0.0,2828.0,2.487917403055555,0.511227384837963,-0.052112883265847405
2022-09-04 13:05:58+00:00,13.01323747,,,,,251.58379896948762,0.0,2830.0,3.614788186111111,0.3936882433101853,-0.04013131939961114
2022-09-04 13:06:00+00:00,14.58382638,,,,,184.76868876511296,0.0,2832.0,4.0510628833333335,0.22996817011574086,-0.023442219175916497
2022-09-04 13:06:02+00:00,15.319598,,,,,147.51719329003862,0.0,2834.0,4.255443888888888,0.15492896782407414,-0.015792963080945376
2022-09-04 13:06:04+00:00,16.58476707,,,,,153.64067574958372,0.0,2836.0,4.606879741666667,0.1400767868055556,-0.014278979287008725
2022-09-04 13:06:06+00:00,17.70522819,,,,,146.8620294132242,0.0,2838.0,4.918118941666666,0.11129812592592603,-0.011345374712122939
2022-09-04 13:06:08+00:00,18.24951338,,,,,113.13108167757954,0.0,2840.0,5.069309272222222,0.05888868495370381,-0.006002924052365322
2022-09-04 13:06:10+00:00,18.46293073,,,,,95.34536023904111,0.0,2842.0,5.128591869444445,0.033288980787037126,-0.0033933721495450686
2022-09-04 13:06:12+00:00,18.37105572,,,,,101.15692210916066,0.0,2844.0,5.103071033333333,0.041875170833333364,-0.0042686208800543695
2022-09-04 13:06:14+00:00,19.02176982,,,,,110.12536084882464,0.0,2846.0,5.28382495,0.04478297337962974,-0.004565032964284377
2022-09-04 13:06:16+00:00,19.49968167,,,,,81.90956205704016,0.0,2848.0,5.416578241666667,0.004495715740740887,-0.00045827887265452466
2022-09-04 13:06:18+00:00,19.26892923,,,,,23.217848676666183,0.0,2850.0,5.352480341666667,-0.06470834097222207,0.0065961611592479175
2022-09-04 13:06:20+00:00,18.31811123,,,,,-5.9588129842213835,0.0,2852.0,5.088364230555555,-0.09703648055555547,0.009891588231962841
2022-09-04 13:06:22+00:00,17.40793993,,,,,22.877303580905135,0.0,2854.0,4.835538869444445,-0.05157683819444444,0.0052575777975988214
2022-09-04 13:06:24+00:00,17.16869501,,,,,71.31534454664589,0.0,2856.0,4.769081947222222,0.01661426412037037,-0.001693604905236531
2022-09-04 13:06:26+00:00,18.19022604,,,,,90.60488697879296,0.0,2858.0,5.052840566666666,0.030518484259259255,-0.003110956601351606
2022-09-04 13:06:28+00:00,18.25356133,,,,,53.93962729486864,0.0,2860.0,5.070433702777778,-0.017577181712962853,0.0017917616425038585
2022-09-04 13:06:30+00:00,17.64147213,,,,,31.820322750147074,0.0,2862.0,4.900408925,-0.04130763263888874,0.00421076785309773
2022-09-04 13:06:32+00:00,16.95811467,,,,,54.95870690256018,0.0,2864.0,4.710587408333334,-0.0037866444444443204,0.00038599841431644446
2022-09-04 13:06:34+00:00,17.70118297,,,,,72.95609896683135,0.0,2866.0,4.9169952694444445,0.012982116666666746,-0.0013233554196398314
2022-09-04 13:06:36+00:00,18.03026745,,,,,29.940061159932817,0.0,2868.0,5.008407625,-0.04682657361111109,0.004773351030694301
2022-09-04 13:06:38+00:00,17.13014679,,,,,-32.16753803874334,0.0,2870.0,4.758374108333333,-0.13568773472222218,0.01383157336617963
2022-09-04 13:06:40+00:00,15.50624287,,,,,-24.347266181764233,0.0,2872.0,4.307289686111111,-0.11853989837962957,0.012083577816476
2022-09-04 13:06:42+00:00,14.36349741,,,,,43.621736396695766,0.0,2874.0,3.989860391666667,0.003979368750000045,-0.00040564411314985167
2022-09-04 13:06:44+00:00,15.67599322,,,,,135.1285429717521,0.0,2876.0,4.354442561111111,0.12943951782407412,-0.013194650134971876
2022-09-04 13:06:46+00:00,17.13230517,,,,,192.8351374414787,0.0,2878.0,4.758973658333333,0.18415258287037048,-0.01877192485936498
2022-09-04 13:06:48+00:00,18.32922228,,,,,225.15538095011783,0.0,2880.0,5.091450633333333,0.20181840162037049,-0.020572721877713605
2022-09-04 13:06:50+00:00,19.66565993,,,,,252.99919699810567,0.0,2882.0,5.462683313888889,0.2076565736111112,-0.02116784644353835
2022-09-04 13:06:52+00:00,21.86119341,,,,,233.9024499034357,0.0,2884.0,6.072553725,0.14252546759259266,-0.014528589968663878
2022-09-04 13:06:54+00:00,22.57109802,,,,,131.38253388752486,0.0,2886.0,6.26974945,0.022689006944444607,-0.002312844744591703
